epoch,acc,loss,val_acc,val_loss,f_loss,fv_loss
95,1,1.44E-05,0.9015,1.19E-07,1,1.109262341
96,1,2.97E-06,0.9015,1.19E-07,1,1.109262341
97,1,1.29E-07,0.9015,1.19E-07,1,1.109262341
98,1,2.61E-07,0.9015,1.19E-07,1,1.109262341
99,1,1.65E-07,0.9015,1.19E-07,1,1.109262341
100,1,3.27E-07,0.9015,1.19E-07,1,1.109262341
0,0.618,0.7848649586737156,1.0,0.025515175126492977
1,0.971,0.10372487878194078,1.0,0.00037737450446002186
2,0.99,0.03353035575710237,1.0,3.821991249424173e-06
3,0.992,0.02475946849139291,1.0,4.8963575827656315e-05
4,0.997,0.014719168277588323,1.0,7.921401509520366e-05
5,0.817,nan,0.33333334,nan
6,0.331,nan,0.33333334,nan
7,0.335,nan,0.33333334,nan
8,0.34,nan,0.33333334,nan
9,0.324,nan,0.33333334,nan
10,0.324,nan,0.33333334,nan
11,0.346,nan,0.33333334,nan
12,0.327,nan,0.33333334,nan
13,0.337,nan,0.33333334,nan
14,0.329,nan,0.33333334,nan
15,0.335,nan,0.33333334,nan
16,0.336,nan,0.33333334,nan
17,0.342,nan,0.33333334,nan
18,0.32,nan,0.33333334,nan
19,0.342,nan,0.33333334,nan
20,0.329,nan,0.33333334,nan
21,0.336,nan,0.33333334,nan
22,0.333,nan,0.33333334,nan
23,0.332,nan,0.33333334,nan
24,0.327,nan,0.33333334,nan
25,0.34,nan,0.33333334,nan
26,0.333,nan,0.33333334,nan
27,0.335,nan,0.33333334,nan
28,0.336,nan,0.33333334,nan
29,0.33,nan,0.33333334,nan
30,0.333,nan,0.33333334,nan
31,0.333,nan,0.33333334,nan
32,0.328,nan,0.33333334,nan
33,0.34,nan,0.33333334,nan
34,0.329,nan,0.33333334,nan
35,0.338,nan,0.33333334,nan
36,0.333,nan,0.33333334,nan
37,0.324,nan,0.33333334,nan
38,0.34,nan,0.33333334,nan
39,0.33,nan,0.33333334,nan
40,0.338,nan,0.33333334,nan
41,0.33,nan,0.33333334,nan
42,0.338,nan,0.33333334,nan
43,0.329,nan,0.33333334,nan
44,0.337,nan,0.33333334,nan
45,0.333,nan,0.33333334,nan
46,0.336,nan,0.33333334,nan
47,0.326,nan,0.33333334,nan
48,0.337,nan,0.33333334,nan
49,0.335,nan,0.33333334,nan
50,0.329,nan,0.33333334,nan
51,0.334,nan,0.33333334,nan
52,0.333,nan,0.33333334,nan
53,0.336,nan,0.33333334,nan
54,0.33,nan,0.33333334,nan
55,0.341,nan,0.33333334,nan
56,0.331,nan,0.33333334,nan
57,0.336,nan,0.33333334,nan
58,0.332,nan,0.33333334,nan
59,0.324,nan,0.33333334,nan
60,0.339,nan,0.33333334,nan
61,0.332,nan,0.33333334,nan
62,0.327,nan,0.33333334,nan
63,0.342,nan,0.33333334,nan
64,0.326,nan,0.33333334,nan
65,0.345,nan,0.33333334,nan
66,0.329,nan,0.33333334,nan
67,0.334,nan,0.33333334,nan
68,0.33,nan,0.33333334,nan
69,0.336,nan,0.33333334,nan
70,0.333,nan,0.33333334,nan
71,0.332,nan,0.33333334,nan
72,0.334,nan,0.33333334,nan
73,0.336,nan,0.33333334,nan
74,0.331,nan,0.33333334,nan
75,0.335,nan,0.33333334,nan
76,0.328,nan,0.33333334,nan
77,0.337,nan,0.33333334,nan
78,0.333,nan,0.33333334,nan
79,0.335,nan,0.33333334,nan
80,0.332,nan,0.33333334,nan
81,0.333,nan,0.33333334,nan
82,0.334,nan,0.33333334,nan
83,0.335,nan,0.33333334,nan
84,0.329,nan,0.33333334,nan
85,0.335,nan,0.33333334,nan
86,0.336,nan,0.33333334,nan
87,0.332,nan,0.33333334,nan
88,0.334,nan,0.33333334,nan
89,0.341,nan,0.33333334,nan
90,0.325,nan,0.33333334,nan
91,0.333,nan,0.33333334,nan
92,0.327,nan,0.33333334,nan
93,0.336,nan,0.33333334,nan
94,0.337,nan,0.33333334,nan
95,0.334,nan,0.33333334,nan
96,0.332,nan,0.33333334,nan
97,0.335,nan,0.33333334,nan
98,0.335,nan,0.33333334,nan
99,0.331,nan,0.33333334,nan
100,0.33,nan,0.33333334,nan
101,0.334,nan,0.33333334,nan
102,0.336,nan,0.33333334,nan
103,0.334,nan,0.33333334,nan
104,0.331,nan,0.33333334,nan
105,0.326,nan,0.33333334,nan
106,0.343,nan,0.33333334,nan
107,0.332,nan,0.33333334,nan
108,0.333,nan,0.33333334,nan
109,0.335,nan,0.33333334,nan
110,0.333,nan,0.33333334,nan
111,0.327,nan,0.33333334,nan
112,0.337,nan,0.33333334,nan
113,0.338,nan,0.33333334,nan
114,0.33,nan,0.33333334,nan
115,0.333,nan,0.33333334,nan
116,0.333,nan,0.33333334,nan
117,0.333,nan,0.33333334,nan
