epoch,acc,loss,val_acc,val_loss,f_loss,fv_loss
1,0.459000003,0.783406208,0.399,0.228915281,2.178649224,2.506265664
2,0.470999995,0.312738713,0.419999989,0.339750867,2.123142274,2.380952443
3,0.469899999,0.238315058,0.442,0.040264722,2.128112369,2.262443439
4,0.477499999,0.171886842,0.44,0.021339411,2.094240841,2.272727273
5,0.489999994,0.121093438,0.47,0.01015237,2.040816351,2.127659574
6,0.497999995,0.135829901,0.45,0.009644606,2.00803215,2.222222222
7,0.493999997,0.095482961,0.45,0.009966014,2.024291509,2.222222222
8,0.481999994,0.108199005,0.44,0.009306778,2.074688823,2.272727273
9,0.480999995,0.091494653,0.4,0.008112643,2.079002099,2.5
10,0.509999996,0.091300212,0.43,0.027938882,1.96078433,2.325581395
11,0.521999996,0.084903295,0.46,0.0025331,1.915708828,2.173913043
12,0.522999996,0.084299468,0.45,0.008877197,1.912045904,2.222222222
13,0.509999997,0.075278851,0.45,0.007763391,1.960784325,2.222222222
14,0.520999997,0.077747274,0.45,0.023289674,1.919385807,2.222222222
15,0.537999998,0.069189123,0.47,0.006989752,1.858736067,2.127659574
16,0.531999995,0.087942437,0.49,0.013356509,1.879699265,2.040816327
17,0.535999997,0.066114966,0.5,0.03618425,1.865671653,2
18,0.542999996,0.075130013,0.5,0.007579056,1.84162064,2
19,0.550999998,0.066343578,0.556666659,0.041723811,1.81488204,1.796407211
20,0.566999997,0.057976424,0.56,0.029867103,1.76366844,1.785714286
21,0.562999998,0.066267261,0.55,0.005064523,1.776198941,1.818181818
22,0.571999997,0.07273612,0.54,0.00222362,1.748251758,1.851851852
23,0.585999997,0.055877052,0.54,0.025807177,1.706484651,1.851851852
24,0.582999997,0.059965954,0.55,0.073421386,1.715265876,1.818181818
25,0.598999996,0.058274995,0.55,0.002300973,1.669449092,1.818181818
26,0.600999997,0.063298388,0.53,0.002903265,1.66389352,1.886792453
27,0.604999997,0.049340812,0.54,0.011179218,1.65289257,1.851851852
28,0.605999997,0.052266731,0.55,0.003557853,1.650165024,1.818181818
29,0.610999996,0.057291616,0.54,0.006354463,1.636661222,1.851851852
30,0.611999997,0.077194208,0.53,0.004734551,1.633986935,1.886792453
31,0.633999996,0.049319179,0.54,0.013078652,1.577287076,1.851851852
32,0.634999997,0.053153586,0.54,0.00055539,1.574803157,1.851851852
33,0.630999995,0.061753869,0.54,0.018687559,1.584786065,1.851851852
34,0.646999997,0.045047872,0.55,0.010270003,1.54559506,1.818181818
35,0.644999996,0.037814279,0.57,0.008978685,1.550387605,1.754385965
36,0.634999997,0.045369691,0.57,0.095295483,1.574803157,1.754385965
37,0.638999997,0.047084215,0.57,0.003185941,1.564945233,1.754385965
38,0.647999998,0.037876834,0.58,0.005639734,1.543209881,1.724137931
39,0.656999997,0.035719853,0.59,0.001248919,1.522070022,1.694915254
40,0.653999997,0.055476826,0.59,0.008489781,1.529051995,1.694915254
41,0.668999997,0.053075218,0.62,0.003371001,1.494768317,1.612903226
42,0.673999999,0.020709741,0.6,0.052985147,1.483679528,1.666666667
43,0.711999999,0.023861655,0.6,0.002692596,1.404494385,1.666666667
44,0.729999998,0.038826532,0.63,0.005988737,1.369863018,1.587301587
45,0.715999997,0.049733769,0.65,0.008415921,1.396648051,1.538461538
46,0.718999998,0.041926325,0.65,0.000710057,1.390820588,1.538461538
47,0.730999998,0.025993115,0.64,0.004030397,1.36798906,1.5625
48,0.758999996,0.081139121,0.66,0.002162714,1.317523064,1.515151515
49,0.760999998,0.058201416,0.64,0.004765238,1.31406045,1.5625
50,0.779999971,0.057107473,0.66,0.042899702,1.282051329,1.515151515
51,0.810999998,0.034810296,0.67,0.023841173,1.233045625,1.492537313
52,0.839999987,0.02395053,0.72,0.001519103,1.190476209,1.388888889
53,0.859999988,0.032055465,0.74,0.00097871,1.162790714,1.351351351
54,0.872999998,0.029099214,0.7,0.002757221,1.145475374,1.428571429
55,0.887999997,0.052339955,0.77,0.000178703,1.12612613,1.298701299
56,0.904999996,0.091726392,0.76,0.016140489,1.10497238,1.315789474
57,0.918999997,0.055102439,0.77,0.004282223,1.088139285,1.298701299
58,0.939999979,0.028020699,0.79,0.011780779,1.063829812,1.265822785
59,0.925999998,0.046563385,0.79,0.000964467,1.079913609,1.265822785
60,0.939999974,0.058420477,0.79,0.000686199,1.063829817,1.265822785
61,0.965999997,0.055874658,0.81,0.010738724,1.03519669,1.234567901
62,0.976999998,0.050785399,0.82,0.00390974,1.023541455,1.219512195
63,0.986999997,0.028781371,0.83,0.000386884,1.013171229,1.204819277
64,0.989999998,0.035036664,0.84,0.013486148,1.010101012,1.19047619
65,0.987999997,0.050227177,0.85,0.00111028,1.012145752,1.176470588
66,0.980999997,0.075054207,0.86,0.036957501,1.019367995,1.162790698
67,0.986999997,0.056687227,0.85,0.001284234,1.013171229,1.176470588
68,0.990999998,0.033380716,0.87,0.000845583,1.009081738,1.149425287
69,0.991999999,0.020274016,0.866666667,0.343681095,1.008064517,1.153846153
70,0.989999998,0.054370524,0.88,0.003278947,1.010101012,1.136363636
71,0.989999998,0.024643933,0.85,0.049974598,1.010101012,1.176470588
72,0.980999997,0.0722469,0.87,0.071383095,1.019367995,1.149425287
73,0.993999999,0.021313218,0.850000006,0.454670027,1.006036219,1.176470579
74,0.995999999,0.020296922,0.86,0.035727509,1.004016065,1.162790698
75,0.989999998,0.047534696,0.89,0.021952461,1.010101013,1.123595506
76,0.993999999,0.034875761,0.9,0.015758946,1.006036219,1.111111111
77,0.993999999,0.040437731,0.86,0.011700361,1.006036219,1.162790698
78,0.988999997,0.032414074,0.876666659,0.105292572,1.011122348,1.140684421
79,0.987999997,0.066146939,0.89,0.007923515,1.012145752,1.123595506
80,0.996999999,0.010878166,0.9,0.003552517,1.003009028,1.111111111
81,0.991999999,0.028490802,0.91,0.022890226,1.008064517,1.098901099
82,0.990999998,0.028756116,0.9246,0.00073226,1.009081738,1.081548778
83,0.992999998,0.021028446,0.91,0.009476693,1.007049347,1.098901099
84,0.985999997,0.077107201,0.9246,0.007659565,1.014198786,1.081548778
85,0.992999998,0.019131623,0.9246,0.008243512,1.007049347,1.081548778
86,0.991999998,0.05271529,0.9246,0.000886878,1.008064518,1.081548778
87,0.993999999,0.017015404,0.9246,0.000119499,1.006036219,1.081548778
88,0.990999998,0.03855913,0.9246,0.014506903,1.009081737,1.081548778
89,0.991999999,0.024225959,0.9246,0.028545339,1.008064517,1.081548778
90,0.994999999,0.011930466,0.9246,0.064641184,1.005025127,1.081548778
91,0.989999998,0.026415515,0.9246,0.01163044,1.010101013,1.081548778
92,0.996999999,0.024190355,0.9246,9.13E-05,1.003009028,1.081548778
93,0.992999999,0.030532666,0.9246,0.005226305,1.007049347,1.081548778
94,0.989999999,0.052281633,0.9246,0.049339316,1.010101011,1.081548778
95,0.994999999,0.028908105,0.9246,0.001897415,1.005025127,1.081548778
96,0.993999999,0.043298827,0.9246,0.000958281,1.006036219,1.081548778
97,0.989999998,0.033254173,0.9246,0.001623763,1.010101013,1.081548778
98,0.984999996,0.047195755,0.9246,0.001376274,1.01522843,1.081548778
99,0.992999998,0.025423902,0.9246,0.038043425,1.007049347,1.081548778
100,0.989999998,0.050022096,0.9246,0.001538772,1.010101012,1.081548778
